Unnamed: 0,key,sentences,,,,,,,,human query+ features,only feature,only human query,without fintuning,,,,,chart,hardness,table_name,vegalite_spec
11,37,What’s the breakdown of how many students have each type of allergy?,,,,,,,,1,1,1,1,,,,,Pie,Medium,Has_allergy,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 37"", ""data"": {""values"": [{""AllergyType"": ""animal"", ""count_"": 8}, {""AllergyType"": ""environmental"", ""count_"": 23}, {""AllergyType"": ""food"", ""count_"": 28}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""count_"", ""type"": ""quantitative""}, ""color"": {""field"": ""AllergyType"", ""type"": ""nominal""}}}"
12,46,What's the distribution of each allergy type?,,,,,,,,1,1,1,1,,,,,Pie,Easy,Allergy_type,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 46"", ""data"": {""values"": [{""AllergyType"": ""animal"", ""COUNT_AllergyType_"": 4}, {""AllergyType"": ""environmental"", ""COUNT_AllergyType_"": 3}, {""AllergyType"": ""food"", ""COUNT_AllergyType_"": 7}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_AllergyType_"", ""type"": ""quantitative""}, ""color"": {""field"": ""AllergyType"", ""type"": ""nominal""}}}"
13,54,How many of each allergy type does the student named Lisa have?,,,,,,,,1,1,1,1,,,,,Pie,Hard,Allergy_type,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 54"", ""data"": {""values"": [{""AllergyType"": ""animal"", ""COUNT_AllergyType_"": 2}, {""AllergyType"": ""environmental"", ""COUNT_AllergyType_"": 4}, {""AllergyType"": ""food"", ""COUNT_AllergyType_"": 4}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_AllergyType_"", ""type"": ""quantitative""}, ""color"": {""field"": ""AllergyType"", ""type"": ""nominal""}}}"
14,55,How many of each allergy type does the student named Lisa have?,,,,,,,,1,1,1,1,,,,,Bar,Hard,Allergy_type,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 55"", ""data"": {""values"": [{""AllergyType"": ""animal"", ""COUNT_AllergyType_"": 2}, {""AllergyType"": ""environmental"", ""COUNT_AllergyType_"": 4}, {""AllergyType"": ""food"", ""COUNT_AllergyType_"": 4}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""AllergyType"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_AllergyType_"", ""type"": ""quantitative""}}}"
16,63,What are the apartment type codes and how many apartments correspond to each?,,,,,,,,1,1,1,1,,,,,Pie,Medium,Apartments,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 63"", ""data"": {""values"": [{""apt_type_code"": ""Studio"", ""COUNT_"": 4}, {""apt_type_code"": ""Duplex"", ""COUNT_"": 5}, {""apt_type_code"": ""Flat"", ""COUNT_"": 6}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_"", ""type"": ""quantitative""}, ""color"": {""field"": ""apt_type_code"", ""type"": ""nominal""}}}"
18,65,What’s the yearly count of apartment booking start dates for female guests?,,,,,,,,1,1,1,1,,,,,Bar,Hard,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 65"", ""data"": {""values"": [{""booking_start_date"": ""2016"", ""COUNT_booking_start_date_"": 6}, {""booking_start_date"": ""2017"", ""COUNT_booking_start_date_"": 3}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
19,68,What’s the count of apartment bookings made by female guests that start on each day of the week?,,,,,,,,1,1,1,1,,,,,Bar,Hard,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 68"", ""data"": {""values"": [{""booking_start_date"": ""Mon"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Tue"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Wed"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Thur"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Fri"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Sat"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Sun"", ""COUNT_booking_start_date_"": 0}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
20,69,How many booking start dates do apartments with more than two bedrooms have each year?,,,,,,,,1,1,1,1,,,,,Bar,Hard,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 69"", ""data"": {""values"": [{""booking_start_date"": ""2016"", ""COUNT_booking_start_date_"": 9}, {""booking_start_date"": ""2017"", ""COUNT_booking_start_date_"": 6}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
21,72,How many booking start dates do apartments with more than two bedrooms have on each weekday?,,,,,,,,1,1,1,1,,,,,Bar,Hard,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 72"", ""data"": {""values"": [{""booking_start_date"": ""Mon"", ""COUNT_booking_start_date_"": 4}, {""booking_start_date"": ""Tue"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Wed"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Thur"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Fri"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Sat"", ""COUNT_booking_start_date_"": 4}, {""booking_start_date"": ""Sun"", ""COUNT_booking_start_date_"": 1}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
22,74,What's the number of bookings for each booking‑status code?,,,,,,,,1,1,1,1,,,,,Bar,Easy,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 74"", ""data"": {""values"": [{""booking_status_code"": ""Confirmed"", ""COUNT_"": 7}, {""booking_status_code"": ""Provisional"", ""COUNT_"": 8}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_status_code"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_"", ""type"": ""quantitative""}}}"
23,77,"What are the booking start dates for duplex apartments, grouped by weekday?",,,,,,,,1,1,1,1,,,,,Bar,Hard,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 77"", ""data"": {""values"": [{""booking_start_date"": ""Mon"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Tue"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Wed"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Thur"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Fri"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Sat"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Sun"", ""COUNT_booking_start_date_"": 0}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
24,81,What’s the breakdown of facility codes for apartments with more than four bedrooms?,,,,,,,,1,1,1,1,,,,,Pie,Hard,Apartment_Facilities,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 81"", ""data"": {""values"": [{""facility_code"": ""Cable TV"", ""COUNT_facility_code_"": 1}, {""facility_code"": ""Gym"", ""COUNT_facility_code_"": 2}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_facility_code_"", ""type"": ""quantitative""}, ""color"": {""field"": ""facility_code"", ""type"": ""nominal""}}}"
25,86,"How many apartment bookings happen on each weekday, and how are the booking start dates distributed across those weekdays?",,,,,,,,1,1,1,1,,,,,Bar,Easy,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 86"", ""data"": {""values"": [{""booking_start_date"": ""Mon"", ""COUNT_booking_start_date_"": 4}, {""booking_start_date"": ""Tue"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Wed"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Thur"", ""COUNT_booking_start_date_"": 1}, {""booking_start_date"": ""Fri"", ""COUNT_booking_start_date_"": 2}, {""booking_start_date"": ""Sat"", ""COUNT_booking_start_date_"": 4}, {""booking_start_date"": ""Sun"", ""COUNT_booking_start_date_"": 1}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
26,93,What’s the count of guests for each gender code?,,,,,,,,1,1,1,1,,,,,Pie,Medium,Guests,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 93"", ""data"": {""values"": [{""gender_code"": ""Female"", ""COUNT_"": 9}, {""gender_code"": ""Male"", ""COUNT_"": 3}, {""gender_code"": ""Unknown"", ""COUNT_"": 3}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_"", ""type"": ""quantitative""}, ""color"": {""field"": ""gender_code"", ""type"": ""nominal""}}}"
27,94,Could you display the guest counts for each gender code?,,,,,,,,1,1,1,1,,,,,Bar,Medium,Guests,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 94"", ""data"": {""values"": [{""gender_code"": ""Female"", ""COUNT_"": 9}, {""gender_code"": ""Male"", ""COUNT_"": 3}, {""gender_code"": ""Unknown"", ""COUNT_"": 3}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""gender_code"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_"", ""type"": ""quantitative""}}}"
28,95,What’s the minimum number of rooms for each apartment type?,,,,,,,,1,1,1,1,,,,,Pie,Easy,Apartments,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 95"", ""data"": {""values"": [{""apt_type_code"": ""Duplex"", ""min_room_count_"": 3}, {""apt_type_code"": ""Flat"", ""min_room_count_"": 3}, {""apt_type_code"": ""Studio"", ""min_room_count_"": 6}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""min_room_count_"", ""type"": ""quantitative""}, ""color"": {""field"": ""apt_type_code"", ""type"": ""nominal""}}}"
29,96,What’s the minimum room count for each apartment type?,,,,,,,,1,1,1,1,,,,,Bar,Easy,Apartments,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 96"", ""data"": {""values"": [{""apt_type_code"": ""Duplex"", ""min_room_count_"": 3}, {""apt_type_code"": ""Flat"", ""min_room_count_"": 3}, {""apt_type_code"": ""Studio"", ""min_room_count_"": 6}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""apt_type_code"", ""type"": ""nominal""}, ""y"": {""field"": ""min_room_count_"", ""type"": ""quantitative""}}}"
30,98,What’s the count of apartment booking start dates for each year?,,,,,,,,1,1,1,1,,,,,Bar,Medium,Apartment_Bookings,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 98"", ""data"": {""values"": [{""booking_start_date"": ""2016"", ""COUNT_booking_start_date_"": 9}, {""booking_start_date"": ""2017"", ""COUNT_booking_start_date_"": 6}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""booking_start_date"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_booking_start_date_"", ""type"": ""quantitative""}}}"
32,120,What’s the count of faults for each fault description recorded in the logs?,,,,,,,,1,1,1,1,,,,,Bar,Medium,Fault_Log,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 120"", ""data"": {""values"": [{""fault_description"": ""failed parts"", ""COUNT_fault_description_"": 6}, {""fault_description"": ""system error"", ""COUNT_fault_description_"": 9}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""fault_description"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_fault_description_"", ""type"": ""quantitative""}}}"
33,131,What's the distribution of engineers across different skill descriptions?,,,,,,,,1,1,1,1,,,,,Pie,Medium,Maintenance_Engineers,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 131"", ""data"": {""values"": [{""skill_description"": ""Electrical"", ""COUNT_skill_description_"": 9}, {""skill_description"": ""Mechanical"", ""COUNT_skill_description_"": 6}, {""skill_description"": ""TV, Video"", ""COUNT_skill_description_"": 5}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_skill_description_"", ""type"": ""quantitative""}, ""color"": {""field"": ""skill_description"", ""type"": ""nominal""}}}"
34,138,"How many assets can each part be used in, and what’s the count for each part?",,,,,,,,1,1,1,1,,,,,Pie,Medium,Parts,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 138"", ""data"": {""values"": [{""part_name"": ""middle"", ""count_"": 5}, {""part_name"": ""package"", ""count_"": 6}, {""part_name"": ""top"", ""count_"": 4}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""count_"", ""type"": ""quantitative""}, ""color"": {""field"": ""part_name"", ""type"": ""nominal""}}}"
35,146,"Could you show a chart of fault counts by short name, grouped by the skill description required to fix each one?",,,,,,,,1,1,1,1,,,,,Stacked Bar,Hard,assets_maintenance,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 146"", ""data"": {""values"": [{""classify"": ""Electrical"", ""fault_short_name"": ""MW"", ""COUNT_fault_short_name_"": 0}, {""classify"": ""Electrical"", ""fault_short_name"": ""PW"", ""COUNT_fault_short_name_"": 3}, {""classify"": ""Electrical"", ""fault_short_name"": ""TW"", ""COUNT_fault_short_name_"": 0}, {""classify"": ""Mechanical"", ""fault_short_name"": ""MW"", ""COUNT_fault_short_name_"": 1}, {""classify"": ""Mechanical"", ""fault_short_name"": ""PW"", ""COUNT_fault_short_name_"": 2}, {""classify"": ""Mechanical"", ""fault_short_name"": ""TW"", ""COUNT_fault_short_name_"": 2}, {""classify"": ""TV, Video"", ""fault_short_name"": ""MW"", ""COUNT_fault_short_name_"": 4}, {""classify"": ""TV, Video"", ""fault_short_name"": ""PW"", ""COUNT_fault_short_name_"": 2}, {""classify"": ""TV, Video"", ""fault_short_name"": ""TW"", ""COUNT_fault_short_name_"": 1}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""fault_short_name"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_fault_short_name_"", ""type"": ""quantitative""}, ""color"": {""field"": ""classify"", ""type"": ""nominal""}}}"
36,150,What’s the count of faults for each skill description needed to fix them?,,,,,,,,1,1,1,1,,,,,Pie,Medium,Part_Faults,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 150"", ""data"": {""values"": [{""skill_description"": ""Electrical"", ""COUNT_skill_description_"": 3}, {""skill_description"": ""Mechanical"", ""COUNT_skill_description_"": 5}, {""skill_description"": ""TV, Video"", ""COUNT_skill_description_"": 7}]}, ""mark"": ""arc"", ""encoding"": {""theta"": {""field"": ""COUNT_skill_description_"", ""type"": ""quantitative""}, ""color"": {""field"": ""skill_description"", ""type"": ""nominal""}}}"
37,158,How often did the Boston Red Stockings win postseason games on each day of the week?,,,,,,,,1,1,1,1,,,,,Bar,Hard,postseason,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 158"", ""data"": {""values"": [{""year"": ""Mon"", ""COUNT_year_"": 2}, {""year"": ""Tue"", ""COUNT_year_"": 3}, {""year"": ""Wed"", ""COUNT_year_"": 3}, {""year"": ""Thur"", ""COUNT_year_"": 2}, {""year"": ""Fri"", ""COUNT_year_"": 2}, {""year"": ""Sat"", ""COUNT_year_"": 1}, {""year"": ""Sun"", ""COUNT_year_"": 0}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""year"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_year_"", ""type"": ""quantitative""}}}"
40,175,What do the death and injury outcomes look like for ships with a tonnage of t?,,,,,,,,1,1,1,0,,,,,Scatter,Medium,death,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 175"", ""data"": {""values"": [{""killed"": 8, ""injured"": 0}, {""killed"": 3, ""injured"": 0}, {""killed"": 25, ""injured"": 0}, {""killed"": 2, ""injured"": 0}, {""killed"": 0, ""injured"": 0}, {""killed"": 4, ""injured"": 5}, {""killed"": 0, ""injured"": 0}, {""killed"": 29, ""injured"": 0}, {""killed"": 0, ""injured"": 0}, {""killed"": 0, ""injured"": 0}, {""killed"": 14, ""injured"": 0}]}, ""mark"": ""point"", ""encoding"": {""x"": {""field"": ""killed"", ""type"": ""quantitative""}, ""y"": {""field"": ""injured"", ""type"": ""quantitative""}}}"
41,186,What’s the count of teachers for each last name?,,,,,,,,1,1,1,1,,,,,Bar,Medium,Teachers,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 186"", ""data"": {""values"": [{""last_name"": ""Becker"", ""COUNT_last_name_"": 1}, {""last_name"": ""Bergnaum"", ""COUNT_last_name_"": 1}, {""last_name"": ""Brakus"", ""COUNT_last_name_"": 1}, {""last_name"": ""Goldner"", ""COUNT_last_name_"": 1}, {""last_name"": ""Hansen"", ""COUNT_last_name_"": 1}, {""last_name"": ""Heller"", ""COUNT_last_name_"": 1}, {""last_name"": ""Kuhic"", ""COUNT_last_name_"": 2}, {""last_name"": ""Lang"", ""COUNT_last_name_"": 1}, {""last_name"": ""Medhurst"", ""COUNT_last_name_"": 1}, {""last_name"": ""Moore"", ""COUNT_last_name_"": 1}, {""last_name"": ""Price"", ""COUNT_last_name_"": 1}, {""last_name"": ""Schultz"", ""COUNT_last_name_"": 1}, {""last_name"": ""Schuster"", ""COUNT_last_name_"": 1}, {""last_name"": ""Ward"", ""COUNT_last_name_"": 1}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""last_name"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_last_name_"", ""type"": ""quantitative""}}}"
46,201,"How does the total monthly rental vary by year, broken down by each “other_details” category?",,,,,,,,1,1,1,1,,,,,Stacked Bar,Extra Hard,behavior_monitoring,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 201"", ""data"": {""values"": [{""classify"": ""apartment"", ""date_address_from"": ""2017"", ""SUM_monthly_rental_"": 5019.3333}, {""classify"": ""apartment"", ""date_address_from"": ""2018"", ""SUM_monthly_rental_"": 2330.6787}, {""classify"": ""house"", ""date_address_from"": ""2017"", ""SUM_monthly_rental_"": 8296.2672}, {""classify"": ""house"", ""date_address_from"": ""2018"", ""SUM_monthly_rental_"": 3177.7418}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""date_address_from"", ""type"": ""nominal""}, ""y"": {""field"": ""SUM_monthly_rental_"", ""type"": ""quantitative""}, ""color"": {""field"": ""classify"", ""type"": ""nominal""}}}"
48,205,Could you show a chart of the monthly distribution and count of date_address_to?,,,,,,,,1,1,1,1,,,,,Bar,Medium,Student_Addresses,"{""$schema"": ""https://vega.github.io/schema/vega-lite/v6.json"", ""description"": ""Vega-Lite chart for key 205"", ""data"": {""values"": [{""date_address_to"": ""Feb"", ""COUNT_date_address_to_"": 2}, {""date_address_to"": ""Mar"", ""COUNT_date_address_to_"": 18}]}, ""mark"": ""bar"", ""encoding"": {""x"": {""field"": ""date_address_to"", ""type"": ""nominal""}, ""y"": {""field"": ""COUNT_date_address_to_"", ""type"": ""quantitative""}}}"
